biogas,0.070
natural_gas,0.2136
pv_ground_S,0.014
pv_ground_EW,0.014
pv_roof_com_S,0.014
pv_roof_com_EW,0.014
pv_roof_indiv_S,0.014
pv_roof_indiv_EW,0.014
onshore,0.013
offshore_float,0.007
offshore_ground,0.007
lake,0.006
river,0.006
phs,0.006
ch4_ocgt,0.081
ch4_ccgt,0.120
ocgt_coge,0.098
h2_ccgt,0.035
nuclear,0.006
electrolysis,0.005
battery_1h,0.058
battery_4h,0.058
coal,1.100
network,0.0012
h2_saltcavern,0
ch4_reservoir,0
biomass_coge,0
geothermal_coge,0
waste,0
marine,0
str_dummy,0
rsv_dummy,0